Site;Year;Month;CO
ZEP;1994;5;157.28
ZEP;1994;6;122.45
ZEP;1994;7;100.32
ZEP;1994;8;107.46
ZEP;1994;9;124.61
ZEP;1994;10;132.84
ZEP;1994;11;139.10
ZEP;1994;12;152.26
ZEP;1995;1;167.59
ZEP;1995;2;180.29
ZEP;1995;3;186.22
ZEP;1995;4;174.05
ZEP;1995;5;146.16
ZEP;1995;6;112.51
ZEP;1995;7;98.35
ZEP;1995;8;102.71
ZEP;1995;9;108.01
ZEP;1995;10;114.01
ZEP;1995;11;130.05
ZEP;1995;12;150.63
ZEP;1996;1;159.02
ZEP;1996;2;161.68
ZEP;1996;3;168.25
ZEP;1996;4;167.83
ZEP;1996;5;147.00
ZEP;1996;6;115.15
ZEP;1996;7;97.77
ZEP;1996;8;101.86
ZEP;1996;9;114.74
ZEP;1996;10;123.37
ZEP;1996;11;134.45
ZEP;1996;12;148.74
ZEP;1997;1;162.50
ZEP;1997;2;172.48
ZEP;1997;3;175.51
ZEP;1997;4;169.80
ZEP;1997;5;145.74
ZEP;1997;6;110.00
ZEP;1997;7;87.39
ZEP;1997;8;82.10
ZEP;1997;9;90.54
ZEP;1997;10;108.57
ZEP;1997;11;131.81
ZEP;1997;12;156.20
ZEP;1998;1;181.47
ZEP;1998;2;190.19
ZEP;1998;3;185.21
ZEP;1998;4;178.20
ZEP;1998;5;158.75
ZEP;1998;6;123.31
ZEP;1998;7;101.82
ZEP;1998;8;119.23
ZEP;1998;9;155.40
ZEP;1998;10;180.69
ZEP;1998;11;181.36
ZEP;1998;12;177.53
ZEP;1999;1;178.54
ZEP;1999;2;181.26
ZEP;1999;3;185.35
ZEP;1999;4;182.26
ZEP;1999;5;155.05
ZEP;1999;6;116.69
ZEP;1999;7;90.34
ZEP;1999;8;89.90
ZEP;1999;9;96.15
ZEP;1999;10;104.47
ZEP;1999;11;124.15
ZEP;1999;12;148.90
ZEP;2000;1;163.55
ZEP;2000;2;167.72
ZEP;2000;3;168.64
ZEP;2000;4;162.71
ZEP;2000;5;141.92
ZEP;2000;6;106.46
ZEP;2000;7;84.37
ZEP;2000;8;84.80
ZEP;2000;9;92.94
ZEP;2000;10;102.97
ZEP;2000;11;117.58
ZEP;2000;12;137.93
ZEP;2001;1;153.29
ZEP;2001;2;159.65
ZEP;2001;3;163.14
ZEP;2001;4;161.47
ZEP;2001;5;145.49
ZEP;2001;6;110.56
ZEP;2001;7;84.79
ZEP;2001;8;88.58
ZEP;2001;9;100.55
ZEP;2001;10;108.16
ZEP;2001;11;123.44
ZEP;2001;12;141.92
ZEP;2002;1;153.65
ZEP;2002;2;161.81
ZEP;2002;3;165.90
ZEP;2002;4;158.85
ZEP;2002;5;132.68
ZEP;2002;6;99.78
ZEP;2002;7;89.02
ZEP;2002;8;103.35
ZEP;2002;9;124.10
ZEP;2002;10;143.09
ZEP;2002;11;168.08
ZEP;2002;12;182.36
ZEP;2003;1;179.96
ZEP;2003;2;178.91
ZEP;2003;3;181.87
ZEP;2003;4;177.93
ZEP;2003;5;157.28
ZEP;2003;6;126.77
ZEP;2003;7;109.68
ZEP;2003;8;113.60
ZEP;2003;9;126.38
ZEP;2003;10;136.66
ZEP;2003;11;145.56
ZEP;2003;12;150.67
ZEP;2004;1;156.43
ZEP;2004;2;166.88
ZEP;2004;3;174.70
ZEP;2004;4;167.99
ZEP;2004;5;139.25
ZEP;2004;6;106.73
ZEP;2004;7;89.99
ZEP;2004;8;95.93
ZEP;2004;9;104.56
ZEP;2004;10;110.87
ZEP;2004;11;122.76
ZEP;2004;12;140.98
ZEP;2005;1;153.24
ZEP;2005;2;156.71
ZEP;2005;3;160.73
ZEP;2005;4;161.51
ZEP;2005;5;141.66
ZEP;2005;6;109.25
ZEP;2005;7;86.62
ZEP;2005;8;88.22
ZEP;2005;9;97.97
ZEP;2005;10;111.72
ZEP;2005;11;130.21
ZEP;2005;12;141.77
ZEP;2006;1;142.94
ZEP;2006;2;151.21
ZEP;2006;3;165.39
ZEP;2006;4;164.88
ZEP;2006;5;144.71
ZEP;2006;6;110.84
ZEP;2006;7;88.02
ZEP;2006;8;86.70
ZEP;2006;9;95.17
ZEP;2006;10;108.99
ZEP;2006;11;127.43
ZEP;2006;12;143.57
ZEP;2007;1;149.05
ZEP;2007;2;153.39
ZEP;2007;3;161.90
ZEP;2007;4;161.12
ZEP;2007;5;141.70
ZEP;2007;6;109.02
ZEP;2007;7;88.31
ZEP;2007;8;87.39
ZEP;2007;9;94.06
ZEP;2007;10;105.06
ZEP;2007;11;123.62
ZEP;2007;12;139.87
ZEP;2008;1;149.73
ZEP;2008;2;159.64
ZEP;2008;3;167.11
ZEP;2008;4;165.35
ZEP;2008;5;143.95
ZEP;2008;6;109.02
ZEP;2008;7;87.99
ZEP;2008;8;86.15
ZEP;2008;9;92.34
ZEP;2008;10;98.79
ZEP;2008;11;109.78
ZEP;2008;12;125.71
ZEP;2009;1;145.47
ZEP;2009;2;157.68
ZEP;2009;3;159.42
ZEP;2009;4;153.93
ZEP;2009;5;132.90
ZEP;2009;6;100.80
ZEP;2009;7;84.27
ZEP;2009;8;89.87
ZEP;2009;9;96.71
ZEP;2009;10;101.97
ZEP;2009;11;114.06
ZEP;2009;12;127.37
ZEP;2010;1;141.29
ZEP;2010;2;155.44
ZEP;2010;3;162.82
ZEP;2010;4;157.61
ZEP;2010;5;135.09
ZEP;2010;6;105.16
ZEP;2010;7;87.26
ZEP;2010;8;98.63
ZEP;2010;9;114.89
ZEP;2010;10;119.27
ZEP;2010;11;120.26
ZEP;2010;12;130.18
ZEP;2011;1;142.57
ZEP;2011;2;149.23
ZEP;2011;3;151.97
ZEP;2011;4;148.11
ZEP;2011;5;129.57
ZEP;2011;6;103.51
ZEP;2011;7;84.36
ZEP;2011;8;83.44
ZEP;2011;9;89.97
ZEP;2011;10;100.37
ZEP;2011;11;116.57
ZEP;2011;12;131.92
ZEP;2012;1;138.45
ZEP;2012;2;145.23
ZEP;2012;3;155.29
ZEP;2012;4;154.47
ZEP;2012;5;134.47
ZEP;2012;6;101.36
ZEP;2012;7;90.08
ZEP;2012;8;110.68
ZEP;2012;9;127.06
ZEP;2012;10;123.79
ZEP;2012;11;120.80
ZEP;2012;12;134.56
ZEP;2013;1;152.46
ZEP;2013;2;159.15
ZEP;2013;3;155.09
ZEP;2013;4;147.92
ZEP;2013;5;126.96
ZEP;2013;6;97.74
ZEP;2013;7;86.82
ZEP;2013;8;93.71
ZEP;2013;9;100.92
ZEP;2013;10;104.17
ZEP;2013;11;111.63
ZEP;2013;12;121.13
ZEP;2014;1;131.65
ZEP;2014;2;143.78
ZEP;2014;3;149.25
ZEP;2014;4;144.90
ZEP;2014;5;126.12
ZEP;2014;6;97.38
ZEP;2014;7;84.71
ZEP;2014;8;99.08
ZEP;2014;9;114.83
ZEP;2014;10;116.78
ZEP;2014;11;122.66
ZEP;2014;12;131.97
ZEP;2015;1;139.72
ZEP;2015;2;146.44
ZEP;2015;3;149.87
ZEP;2015;4;146.33
ZEP;2015;5;127.46
ZEP;2015;6;101.19
ZEP;2015;7;91.84
ZEP;2015;8;98.24
ZEP;2015;9;103.40
ZEP;2015;10;109.67
ZEP;2015;11;119.93
ZEP;2015;12;129.31
ZEP;2016;1;141.67
ZEP;2016;2;152.82
ZEP;2016;3;154.15
ZEP;2016;4;144.63
ZEP;2016;5;123.92
ZEP;2016;6;99.72
ZEP;2016;7;84.42
ZEP;2016;8;87.08
ZEP;2016;9;96.26
ZEP;2016;10;107.44
ZEP;2016;11;119.28
ZEP;2016;12;128.41
ZEP;2017;1;134.21
ZEP;2017;2;140.40
ZEP;2017;3;144.41
ZEP;2017;4;137.77
ZEP;2017;5;118.68
ZEP;2017;6;89.58
ZEP;2017;7;74.48
ZEP;2017;8;85.16
ZEP;2017;9;106.99
ZEP;2017;10;120.01
ZEP;2017;11;123.84
ZEP;2017;12;126.77
